Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,11400854267.7188,12128104859.1498,13567351175.0315,13469422958.5105
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,53953897624.4344,59199447421.4924,66363422450.2112,68915416141.9576
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,12833363370.174,14106956830.0857,15890065019.7634,16178162030.0694
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,2732808556.84172,2748180473.71333,2668495742.88443,2631434363.22693
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,1662998677.88425,1768319144.00218,1966503222.76759,1981845740.70615
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,20016747754.0192,22177200511.5811,24571753583.4922,27089389786.979
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,33814337900.2831,36098550141.5897,39973839064.6084,39670977332.7348
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,4909498979.9592,5166467298.69195,5522625585.0234,5935769350.77403
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,1825018190.85071,2072349794.23301,2220978978.17342,2220307368.69593
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,10097778353.7651,10000395242.1457,11239167048.4916,11314951342.7807
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,250440149690.846,277034675515.684,297571693064.193,279385487344.492
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,11233276536744.7,12310409370894.2,13894817549380.3,14279937467431
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,282825009887.458,311883730690.129,334198214706.209,323429888934.257
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,1012835518.26037,1077439662.5798,1188797574.94753,1192559739.37288
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,37134799974.5225,38019265625.8845,47146004586.6824,50400747050.496
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,10215989995.0073,11090177747.1315,13670036995.9959,12750339022.9512
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,58847016044.8244,60516043590.1924,62420165099.7301,64072870931.603
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,47964234560.0514,51588158717.5348,58011466450.8643,58539424929.7248
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,52295158344.2544,56214427431.2,62247874948.8225,62246206340.5469
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,91370000000,96851000000,100050000000,103428000000
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,3122287932.96089,3116610111.73184,3127908044.69274,3101787709.49721
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,20953442550.3653,22870833709.8961,25522671232.8767,25758357774.5438
GDP (current US$),NY.GDP.MKTP.CD,Czech Republic,CZE,196272068576.338,218628940951.675,248950103352.137,252498032247.163
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,313115929314.339,332121063806.391,356841216410.068,347561349210.979
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,2603540256.91955,2751445573.68009,3012803457.10411,3324615549.09099
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,576229629.62963,519837037.037037,550622222.222222,611537037.037037
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,75704720189.5607,79997975621.8654,85555378042.8196,88941299733.5018
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,99937696000,104295862000,107562008000,108108009000
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,332441717791.411,235733695652.174,249712999437.254,303080865603.645
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,24191430000,24979190000,26020850000,26896660000
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,11240808846.6928,12200913887.6419,13097012189.3995,11417278044.9859
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,24072829276.7744,26924385103.0659,30489500904.8564,31045591753.4901
GDP (current US$),NY.GDP.MKTP.CD,Eswatini,SWZ,3816022046.82656,4402969225.92165,4665420238.51784,4495679480.96886
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,74296618481.0882,81770791970.982,84269348327.3454,95912590628.1412
GDP (current US$),NY.GDP.MKTP.CD,Faroe Islands,FRO,2738832687.13698,2899226097.62377,3051341335.9516,3126293219.77989
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,4930204229.72263,5353404422.08138,5581371847.61641,5496264766.37285
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,240771351298.833,255647979916.471,275715087494.902,268508200125.49
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,2472964344587.17,2595151045197.65,2790956878746.66,2728870246705.88
GDP (current US$),NY.GDP.MKTP.CD,French Polynesia,PYF,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Gabon,GAB,14023890620.3384,14929488770.7315,16867325126.5423,16874405839.7948
GDP (current US$),NY.GDP.MKTP.CD,"Gambia, The",GMB,1484579844.37143,1504909753.28746,1670670668.5939,1812529104.61923
GDP (current US$),NY.GDP.MKTP.CD,Georgia,GEO,15141758566.7808,16242916915.7203,17599700090.762,17477255562.2583
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,3469853463945.53,3690849152517.65,3977289455388.23,3888326788627.44
GDP (current US$),NY.GDP.MKTP.CD,Ghana,GHA,56165172898.8695,60406382898.5174,67299280679.563,68337537815.7703
GDP (current US$),NY.GDP.MKTP.CD,Gibraltar,GIB,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,193148146586.933,199844406013.531,212049447242.111,205144152830.847
GDP (current US$),NY.GDP.MKTP.CD,Greenland,GRL,2707146783.13056,2851610655.92391,3040414278.02236,2982247278.61577
GDP (current US$),NY.GDP.MKTP.CD,Grenada,GRD,1061640740.74074,1125685185.18519,1166523555.55556,1212694407.40741
GDP (current US$),NY.GDP.MKTP.CD,Guam,GUM,5901000000,6013000000,6060000000,6364000000
GDP (current US$),NY.GDP.MKTP.CD,Guatemala,GTM,66053725049.0138,71654134378.5299,73208583758.9105,77020015201.3201
GDP (current US$),NY.GDP.MKTP.CD,Guinea,GIN,8595955581.21787,10324668266.5921,11857030336.5252,13513809258.2131
GDP (current US$),NY.GDP.MKTP.CD,Guinea-Bissau,GNB,1179004941.22904,1350177127.5523,1504630120.99275,1439638443.38133
GDP (current US$),NY.GDP.MKTP.CD,Guyana,GUY,4482697336.56174,4748174334.14044,4787636237.24043,5173760191.84652
GDP (current US$),NY.GDP.MKTP.CD,Haiti,HTI,13987693738.923,15035560372.6443,16455034352.7671,14785839382.9002
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,21566622849.6057,22975415842.4648,23900438563.7271,24915522849.1544
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,320837638328.846,341244161576.759,361691522612.745,363016373358.517
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,128636108315.474,143136245596.988,160586833778.457,163526491433.29
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,20793168030.9524,24728285177.4603,26267063757.5495,24857740445.0401
GDP (current US$),NY.GDP.MKTP.CD,India,IND,2294797980509.01,2651472946374.91,2701111782775.03,2870504096717.77
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,931877364177.742,1015618742565.81,1042271531011.99,1119091259074.62
GDP (current US$),NY.GDP.MKTP.CD,"Iran, Islamic Rep.",IRN,417983583565.54,445345256459.105,294356680624.658,258245497664.394
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,166602488747.885,187217660050.676,227367469034.031,235097182233.503
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,298928152644.686,335430829594.026,385041711506.234,399122063504.148
GDP (current US$),NY.GDP.MKTP.CD,Isle of Man,IMN,6846691871.45558,6979581724.58172,7491969312.87525,7315388052.08067
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,319024417316.889,355277223507.485,373641241440.789,397934596952.56
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,1877071687633.78,1961796197354.36,2091932426266.98,2009383867307.45
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,14077109396.8584,14808989993.3185,15730793852.7913,15830768549.8916
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,5003677627544.24,4930837369151.42,5036891740656.35,5148781948478.17
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,39892551126.7606,41408960845.0704,42932112676.0563,44502895915.493
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,137278320084.171,166805800595.704,179339994859.384,181667190075.541
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,74815121314.9381,82035800868.187,92202956320.532,100555485831.944
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,178328984.096884,187276124.790591,200157020.642498,188391770.636764
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. People's Rep.",PRK,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,1500111596236.37,1623901496835.79,1724845615629.26,1651422932447.77
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,XKX,6682832632.27806,7180813375.50836,7878508502.59802,7899879086.43081
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,109419728566.7,120707435542.367,138182400331.126,136196760210.804
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,6813092065.83507,7702934800.12836,8271108638.39931,8871026074.19762
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,15912495368.8717,17071162084.4067,18141651381.3884,18897252232.5826
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,28083597512.4841,30483806017.8318,34429023435.0211,34308783825.3019
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,51389318290.8642,53324800958.6119,55276157552.246,51953744507.4091
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,2114323793.98266,2306843528.52853,2514146887.91664,2366213068.57507
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,3398419600,3390703400,3422754800,3319596500
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,26197143268.1243,37883243650.452,52607888717.9487,52091152228.3425
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,6237264055.20601,6474256118.61481,6839145106.86164,6684443550.01006
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,43047309305.7363,47758736931.7801,53750911865.687,54697379017.3332
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,62216885435.9488,65712180342.9836,71285019397.4133,70195715495.5136
GDP (current US$),NY.GDP.MKTP.CD,"Macao SAR, China",MAC,45070605746.0194,50440941938.6992,55284360483.1217,55204758069.5124
GDP (current US$),NY.GDP.MKTP.CD,Madagascar,MDG,11848613735.1908,13176313593.5418,13760033096.5122,14104664514.87
GDP (current US$),NY.GDP.MKTP.CD,Malawi,MWI,5433040159.88747,8943543677.18899,9880675785.93057,11025357837.607
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,301255380276.258,319112136545.438,358791603677.728,365276282438.141
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,4379136461.83077,4754175869.24027,5300962659.51088,5607762625.14627
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,14026048690.7312,15365714371.3316,17070866299.0945,17280251193.9527
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,11721521912.7202,13221298307.8894,14864712990.1631,15215714309.0974
GDP (current US$),NY.GDP.MKTP.CD,Marshall Islands,MHL,201510900,213204100,221588900,239462200
GDP (current US$),NY.GDP.MKTP.CD,Mauritania,MRT,6398744505.08129,6799075418.99441,7354430040.11966,7889662452.16785
GDP (current US$),NY.GDP.MKTP.CD,Mauritius,MUS,12232463655.5727,13259351418.4459,14181951058.5129,14045808843.221
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,1078490651625.31,1158913035796.37,1222408203104.3,1269433932805.91
GDP (current US$),NY.GDP.MKTP.CD,"Micronesia, Fed. Sts.",FSM,332265200,366666800,401932300,408057100
GDP (current US$),NY.GDP.MKTP.CD,Moldova,MDA,8071480540.86068,9669759987.02633,11456728401.3069,11970233939.8808
GDP (current US$),NY.GDP.MKTP.CD,Monaco,MCO,6472990923.1791,6431314957.07185,7194024563.06094,7383745662.15157
GDP (current US$),NY.GDP.MKTP.CD,Mongolia,MNG,11181350461.4723,11480847745.3187,13178094459.4548,14206359006.8095
GDP (current US$),NY.GDP.MKTP.CD,Montenegro,MNE,4374128318.58407,4844592066.71174,5504166666.66667,5542674317.06225
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,103311649248.024,109682728023.112,118096227400.092,119870439113.662
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,11936999283.1791,13219084261.3664,14845870050.7092,15384701797.9863
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,60291738934.7783,61449391917.1299,67144726167.9303,68697761477.1818
GDP (current US$),NY.GDP.MKTP.CD,Namibia,NAM,10721994676.6562,12895153160.466,13682062249.2236,12496781719.7752
GDP (current US$),NY.GDP.MKTP.CD,Nauru,NRU,99723394.9628767,109359680.217211,124021393.690412,118724073.809183
GDP (current US$),NY.GDP.MKTP.CD,Nepal,NPL,24524098184.4236,28971589213.134,33111525182.7133,34186180694.9285
GDP (current US$),NY.GDP.MKTP.CD,Netherlands,NLD,784060430240.08,833869641687.06,914043438179.607,910194347568.626
GDP (current US$),NY.GDP.MKTP.CD,New Caledonia,NCL,8724568970.67891,9173669999.5986,9846920284.01006,9438127994.09456
GDP (current US$),NY.GDP.MKTP.CD,New Zealand,NZL,188943457301.474,206950600690.395,212225726657.864,212891048340.608
GDP (current US$),NY.GDP.MKTP.CD,Nicaragua,NIC,13286083644.8761,13785876629.3189,13025239912.2751,12611218627.0632
GDP (current US$),NY.GDP.MKTP.CD,Niger,NER,10398862244.9737,11185102399.5762,12808660528.0617,12916455161.1081
GDP (current US$),NY.GDP.MKTP.CD,Nigeria,NGA,404650006428.613,375746469538.666,397190484464.308,448120428858.769
GDP (current US$),NY.GDP.MKTP.CD,North Macedonia,MKD,10672471860.7184,11307058382.3435,12683070061.4695,12606338448.547
GDP (current US$),NY.GDP.MKTP.CD,Northern Mariana Islands,MNP,1230000000,1560000000,1302000000,1182000000
GDP (current US$),NY.GDP.MKTP.CD,Norway,NOR,368827142857.143,398393955268.99,436999692591.454,404941363636.364
GDP (current US$),NY.GDP.MKTP.CD,Oman,OMN,75128738621.5865,80856697009.1027,91505851755.5267,88060858257.4772
GDP (current US$),NY.GDP.MKTP.CD,Pakistan,PAK,278654637737.69,304567253219.097,314567541558.339,279056608888.638
GDP (current US$),NY.GDP.MKTP.CD,Palau,PLW,298300000,285300000,284700000,274200000
GDP (current US$),NY.GDP.MKTP.CD,Panama,PAN,57907695408.9392,62202725204.4646,64929409212.4566,66984427150.321
GDP (current US$),NY.GDP.MKTP.CD,Papua New Guinea,PNG,20759069103.0961,22742613553.6879,24109509852.7402,24751344552.2057
GDP (current US$),NY.GDP.MKTP.CD,Paraguay,PRY,36089550659.0914,38997129473.5558,40225448340.6322,37906944074.6128
GDP (current US$),NY.GDP.MKTP.CD,Peru,PER,191895943823.887,211007207483.515,222574697255.522,228470919605.669
GDP (current US$),NY.GDP.MKTP.CD,Philippines,PHL,318626761492.305,328480867143.204,346842094174.513,376823278560.849
GDP (current US$),NY.GDP.MKTP.CD,Poland,POL,472630364208.177,526508877305.321,587411745161.558,597280564671.563
GDP (current US$),NY.GDP.MKTP.CD,Portugal,PRT,206426152308.931,221357874718.93,242313116577.967,239986922638.902
GDP (current US$),NY.GDP.MKTP.CD,Puerto Rico,PRI,104336700000,103445526000,100925000000,104914600000
GDP (current US$),NY.GDP.MKTP.CD,Qatar,QAT,151732181868.132,161099122225.275,183334953818.681,176371267689.082
GDP (current US$),NY.GDP.MKTP.CD,Romania,ROU,188128818486.401,211695422578.655,241457403085.042,249881592298.072
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1276786979221.81,1574199387070.9,1657328865709.99,1687448525466.61
GDP (current US$),NY.GDP.MKTP.CD,Rwanda,RWA,8690485823.14546,9253098954.27769,9640280084.19572,10355974217.3735
GDP (current US$),NY.GDP.MKTP.CD,Samoa,WSM,799493884.324697,832025573.983795,821286927.535723,852007112.724637
GDP (current US$),NY.GDP.MKTP.CD,San Marino,SMR,1468377272.13859,1528630707.49794,1655300872.53427,1616369645.99635
GDP (current US$),NY.GDP.MKTP.CD,Sao Tome and Principe,STP,345495614.979982,375614126.193877,412253809.728799,427425039.684339
GDP (current US$),NY.GDP.MKTP.CD,Saudi Arabia,SAU,644935541440,688586244293.333,786521831573.333,792966838160
GDP (current US$),NY.GDP.MKTP.CD,Senegal,SEN,19040312815.1337,20996564751.5994,23116699808.1723,23306213742.3602
GDP (current US$),NY.GDP.MKTP.CD,Serbia,SRB,40692643373.0327,44179055279.8887,50640650221.4622,51514222381.8428
GDP (current US$),NY.GDP.MKTP.CD,Seychelles,SYC,1426651768.82189,1528242026.36264,1547690759.44363,1582841058.89479
GDP (current US$),NY.GDP.MKTP.CD,Sierra Leone,SLE,3674794530.18956,3719369107.34992,4085114794.22324,4076578542.56207
GDP (current US$),NY.GDP.MKTP.CD,Singapore,SGP,318763807455.664,343337750742.27,375981539145.907,374386306993.109
GDP (current US$),NY.GDP.MKTP.CD,Sint Maarten (Dutch part),SXM,1263687150.83799,1191620111.73184,1185474860.3352,..
GDP (current US$),NY.GDP.MKTP.CD,Slovak Republic,SVK,89674927723.2422,95393515077.7472,105612792516.582,105284375640.698
GDP (current US$),NY.GDP.MKTP.CD,Slovenia,SVN,44766722790.5826,48589100043.0954,54163591695.32,54178877605.9999
GDP (current US$),NY.GDP.MKTP.CD,Solomon Islands,SLB,1378551118.49224,1483758906.61054,1574599182.64697,1570093229.25588
GDP (current US$),NY.GDP.MKTP.CD,Somalia,SOM,5529873479.87153,5609000000,5850677295.69858,6476674591.87348
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,323585509674.481,381448814653.456,404842116738.074,387934574098.17
GDP (current US$),NY.GDP.MKTP.CD,South Sudan,SSD,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Spain,ESP,1232912963206.23,1312539279462.36,1420994142512.16,1393046093137.25
GDP (current US$),NY.GDP.MKTP.CD,Sri Lanka,LKA,82401038709.5356,87428128123.7209,87963042340.8379,83990946939.4651
GDP (current US$),NY.GDP.MKTP.CD,St. Kitts and Nevis,KNA,1008888888.88889,1060740740.74074,1078518518.51852,1164814814.81481
GDP (current US$),NY.GDP.MKTP.CD,St. Lucia,LCA,1865513444.44444,1996771444.44444,2065127259.25926,2118791555.55556
GDP (current US$),NY.GDP.MKTP.CD,St. Martin (French part),MAF,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,St. Vincent and the Grenadines,VCT,774429629.62963,792177777.777778,811300000,825040740.740741
GDP (current US$),NY.GDP.MKTP.CD,Sudan,SDN,42630376000,41283617976.1905,30964349684.7059,26155799324.8663
GDP (current US$),NY.GDP.MKTP.CD,Suriname,SUR,3317438910.83068,3591623596.03082,3996247906.19765,3984483762.37123
GDP (current US$),NY.GDP.MKTP.CD,Sweden,SWE,515654671469.547,541018749769.097,555455371487.089,533879529188.454
GDP (current US$),NY.GDP.MKTP.CD,Switzerland,CHE,695600652899.283,704478516963.855,735539301552.674,731767398052.879
GDP (current US$),NY.GDP.MKTP.CD,Syrian Arab Republic,SYR,12356980638.8143,16112991411.879,21490335085.8366,22777882165.1115
GDP (current US$),NY.GDP.MKTP.CD,Tajikistan,TJK,6992393787.40891,7536439875.08334,7765014424.33779,8300784856.87904
GDP (current US$),NY.GDP.MKTP.CD,Tanzania,TZA,49774021003.0748,53320625958.5628,57003713610.7625,61136873692.3985
GDP (current US$),NY.GDP.MKTP.CD,Thailand,THA,413366150655.591,456356961443.497,506611070188.362,544263840039.166
GDP (current US$),NY.GDP.MKTP.CD,Timor-Leste,TLS,1650618500,1615609700,1583876200,2047931700
GDP (current US$),NY.GDP.MKTP.CD,Togo,TGO,6031632168.17391,6395472574.41445,7112200725.00232,7220395247.7424
GDP (current US$),NY.GDP.MKTP.CD,Tonga,TON,420540178.571429,460379144.989821,489235527.395387,512350059.421629
GDP (current US$),NY.GDP.MKTP.CD,Trinidad and Tobago,TTO,22386264807.3174,22385426653.883,23679919654.9891,23208326547.5327
GDP (current US$),NY.GDP.MKTP.CD,Tunisia,TUN,44360775649.1664,42163974956.4834,42570270107.1147,41804581484.3655
GDP (current US$),NY.GDP.MKTP.CD,Turkey,TUR,869692960365.551,858996263095.858,778471901665.148,761004425605.414
GDP (current US$),NY.GDP.MKTP.CD,Turkmenistan,TKM,36169428571.4286,37926285714.2857,40765428571.4286,45231428571.4286
GDP (current US$),NY.GDP.MKTP.CD,Turks and Caicos Islands,TCA,1032452000,1022365000,1113178000,1197415000
GDP (current US$),NY.GDP.MKTP.CD,Tuvalu,TUV,36547799.583705,40619251.9926426,42588164.9731022,47271463.3298575
GDP (current US$),NY.GDP.MKTP.CD,Uganda,UGA,29203988814.8973,30744473911.5312,32927025573.4296,35353060634.2022
GDP (current US$),NY.GDP.MKTP.CD,Ukraine,UKR,93355993628.5042,112090530368.543,130891049796.879,153882982016.281
GDP (current US$),NY.GDP.MKTP.CD,United Arab Emirates,ARE,357045064669.843,385605506848.196,422215043594.282,417215559513.364
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,2722851958486.23,2699016715111.39,2900791442554.06,2878673912414.44
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,18745075687000,19542979183000,20611860934000,21433224697000
GDP (current US$),NY.GDP.MKTP.CD,Uruguay,URY,57236652490.1699,64233966861.2518,64515038268.1373,61231149880.5857
GDP (current US$),NY.GDP.MKTP.CD,Uzbekistan,UZB,86138288615.1218,62081323299.0324,52633143808.1824,59907674027.4676
GDP (current US$),NY.GDP.MKTP.CD,Vanuatu,VUT,780889605.899977,880043553.748442,914727908.137793,934521604.602009
GDP (current US$),NY.GDP.MKTP.CD,"Venezuela, RB",VEN,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Vietnam,VNM,205276172134.901,223779865815.183,245213686369.157,261921244843.172
GDP (current US$),NY.GDP.MKTP.CD,Virgin Islands (U.S.),VIR,3798000000,3794000000,3900000000,4068000000
GDP (current US$),NY.GDP.MKTP.CD,West Bank and Gaza,PSE,15405400000,16128000000,16276600000,17133500000
GDP (current US$),NY.GDP.MKTP.CD,"Yemen, Rep.",YEM,31317365269.4611,26840128755.3648,21606140907.4454,..
GDP (current US$),NY.GDP.MKTP.CD,Zambia,ZMB,20958412538.3093,25873601260.8353,26311590296.7021,23308667781.2258
GDP (current US$),NY.GDP.MKTP.CD,Zimbabwe,ZWE,20548678100,17584890936.6523,18115543790.7855,19284289739.0517
GDP (current US$),NY.GDP.MKTP.CD,Africa Eastern and Southern,AFE,873354876607.317,985355704660.083,1012853224905.79,1009909855421.84
GDP (current US$),NY.GDP.MKTP.CD,Africa Western and Central,AFW,690543020916.229,683741574626.192,741691624372.788,794572474605.872
GDP (current US$),NY.GDP.MKTP.CD,Arab World,ARB,2411981152232.62,2466442560038.42,2730779681432.55,2776468692322.96
GDP (current US$),NY.GDP.MKTP.CD,Caribbean small states,CSS,69598702057.8724,71693634217.0543,75312833438.1826,76173669481.1443
GDP (current US$),NY.GDP.MKTP.CD,Central Europe and the Baltics,CEB,1321561802163.9,1464532904458.85,1645463203193.69,1673863310975.42
GDP (current US$),NY.GDP.MKTP.CD,Early-demographic dividend,EAR,10307820454608.6,11137608724945.9,11214753522578.3,11527336323652.6
